communityID,province,province_eng,city,city_eng,urban_nbs,areatype,versionID
1601041,ÁÉÄþÊ¡,Liaoning,±¾ÏªÊÐ,Benxi,1,111,20151118
1601042,ÁÉÄþÊ¡,Liaoning,±¾ÏªÊÐ,Benxi,1,111,20151118
1601043,ÁÉÄþÊ¡,Liaoning,±¾ÏªÊÐ,Benxi,1,111,20151118
1611591,ÁÉÄþÊ¡,Liaoning,°°É½ÊÐ,Anshan,0,220,20151118
1611592,ÁÉÄþÊ¡,Liaoning,°°É½ÊÐ,Anshan,0,220,20151118
1611593,ÁÉÄþÊ¡,Liaoning,°°É½ÊÐ,Anshan,1,121,20151118
1624311,ÁÉÄþÊ¡,Liaoning,´óÁ¬ÊÐ,Dalian,1,111,20151118
1624312,ÁÉÄþÊ¡,Liaoning,´óÁ¬ÊÐ,Dalian,0,220,20151118
1624313,ÁÉÄþÊ¡,Liaoning,´óÁ¬ÊÐ,Dalian,1,111,20151118
1660061,ÁÉÄþÊ¡,Liaoning,³¯ÑôÊÐ,Chaoyang,0,220,20151118
1660062,ÁÉÄþÊ¡,Liaoning,³¯ÑôÊÐ,Chaoyang,0,220,20151118
1660063,ÁÉÄþÊ¡,Liaoning,³¯ÑôÊÐ,Chaoyang,0,220,20151118
1682311,ÁÉÄþÊ¡,Liaoning,½õÖÝÊÐ,Jinzhou,0,220,20151118
1682312,ÁÉÄþÊ¡,Liaoning,½õÖÝÊÐ,Jinzhou,0,220,20151118
1682313,ÁÉÄþÊ¡,Liaoning,½õÖÝÊÐ,Jinzhou,1,111,20151118
1711591,É½Î÷Ê¡,Shanxi,ÑôÈªÊÐ,Yangquan,0,220,20151118
1711592,É½Î÷Ê¡,Shanxi,ÑôÈªÊÐ,Yangquan,0,220,20151118
1711593,É½Î÷Ê¡,Shanxi,ÑôÈªÊÐ,Yangquan,0,220,20151118
1746431,É½Î÷Ê¡,Shanxi,ÐÃÖÝÊÐ,Xinzhou,0,220,20151118
1746432,É½Î÷Ê¡,Shanxi,ÐÃÖÝÊÐ,Xinzhou,0,220,20151118
1746433,É½Î÷Ê¡,Shanxi,ÐÃÖÝÊÐ,Xinzhou,1,121,20151118
1755311,É½Î÷Ê¡,Shanxi,ÔË³ÇÊÐ,Yuncheng,1,111,20151118
1755312,É½Î÷Ê¡,Shanxi,ÔË³ÇÊÐ,Yuncheng,0,220,20151118
1755313,É½Î÷Ê¡,Shanxi,ÔË³ÇÊÐ,Yuncheng,0,220,20151118
1774021,É½Î÷Ê¡,Shanxi,ÁÙ·ÚÊÐ,Linfen,0,210,20151118
1774022,É½Î÷Ê¡,Shanxi,ÁÙ·ÚÊÐ,Linfen,1,122,20151118
